Drug A,Drug B,Combination Effect,Property A,Property B,New Drug Property,Severity
celestolide,isradipine,Unknown,"['Anti-inflammatory', 'Anti-thyroid', 'Anti-coagulant', 'Anti-arthritic', 'Anti-tumor', 'Anti-hypertensive', 'Anti-diabetic', 'Anti-depressant",['Anti-hypertensive'],['Anti-hypertensive'],Low
AZD2811,PARP inhibitor,Unknown,"Antineoplastic, Antitumor, Antiproliferative","Antineoplastic, Antiproliferative","Antineoplastic, Antiproliferative",Low
Cefazolin,Levofloxacin,Synergistic,"['Antibacterial', 'Antibiotic', 'Antibacterial antibiotic']","['Antibacterial', 'Antimicrobial', 'Antibiotic']","['Antibacterial', 'Antibiotic', 'Antibacterial antibiotic']",Low
Terbinafine,Carvedilol,No drug interactions found.,"['Antifungal', 'Antiprotozoal', 'Antineoplastic', 'Antiangiogenic', 'Antiinfective']","['Antianginal', 'Antihypertensive']","['Antifungal', 'Antianginal', 'Antihypertensive']",Medium
5-fluorouracil,cisplatin,Increased efficacy,Antineoplastic,Antineoplastic,['Antineoplastic'],High
atol,Furosemide,No known interaction or contraindication for both drugs,"[{'reaction_type': 'adverse_reaction', 'reaction_severity': 'Mild', 'reaction_name': 'Bronchospasm', 'reaction_meddra_pt': 'Respiratory, Thoracic and Mediastinal Dis","[{'reaction_type': 'adverse_reaction', 'reaction_severity': 'Moderate', 'reaction_name': 'Hepatic Function Test Abnormal', 'reaction_meddra_pt': 'Liver and Biliary System Disorders'}","[{'reaction_type': 'adverse_reaction', 'reaction_severity': 'Mild', 'reaction_name': 'Bronchospasm', 'reaction_meddra_pt': 'Respiratory, Thoracic and Mediastinal Dis",High
Dexmedetomidine,Fentanyl,synergistic,"['Analgesic', 'Anxiolytic', 'Anticonvulsant', 'Antihypertensive', 'Antiparkinson', 'Antipsychotic', 'Anesthetic', 'Bronchodilator', 'Cardiac Depressant', 'Neuromuscular Block","['Analgesic', 'Antitussive', 'Anti-inflammatory', 'Antitoxic', 'Antidepressant', 'Antiemetic', 'Anxiolytic', 'Antihypertensive', 'Antihypertensive', 'Neuromuscular","['Analgesic', 'Anxiolytic', 'Anticonvulsant', 'Antihypertensive', 'Antiparkinson', 'Antipsychotic', 'Anesthetic', 'Bronchodilator', 'Cardiac Depressant', 'Neuromuscular Block",Medium
Cytomel,Pyridostigmine,weight gain,antithyroid,anticholinesterase,antithyroid anticholinesterase,Low
aliskiren,nifedipine,Unknown,"['CNS Stimulant', 'Drug Abuse Potential', 'Metabolism and Elimination', 'Oral Absorption', 'Peak Plasma Time', 'Route of Administration']","['Antianginal', 'Cardiotonic', 'Metabolism and Elimination', 'Oral Absorption', 'Peak Plasma Time', 'Route of Administration']",['Antihypertensive'],Medium
DrugBank D00650,DrugBank D00067,Synergistic,"['Absorption', 'Distribution', 'Metabolism', 'Excretion']","['Absorption', 'Distribution', 'Metabolism', 'Excretion']","['Absorption', 'Distribution', 'Metabolism', 'Excretion']",Medium
